act_symbol,date,period,net_income,sales,average_shares,income_from_continuing_operations
A,2016-07-31,Quarter,124000000,1044000000,328000000,124000000
A,2016-10-31,Quarter,124000000,1111000000,328000000,124000000
A,2017-01-31,Quarter,168000000,1067000000,326000000,168000000
A,2017-04-30,Quarter,164000000,1102000000,325000000,164000000
A,2017-07-31,Quarter,175000000,1114000000,326000000,175000000
A,2017-10-31,Quarter,177000000,1189000000,326000000,177000000
A,2018-01-31,Quarter,-320000000,1211000000,323000000,-320000000
A,2018-04-30,Quarter,205000000,1206000000,326000000,205000000
A,2018-07-31,Quarter,236000000,1203000000,324000000,236000000
A,2018-10-31,Quarter,195000000,1294000000,322000000,195000000
A,2019-01-31,Quarter,504000000,1284000000,322000000,504000000
A,2019-04-30,Quarter,182000000,1238000000,321000000,182000000
A,2019-07-31,Quarter,191000000,1274000000,316000000,191000000
A,2019-10-31,Quarter,194000000,1367000000,313000000,194000000
A,2020-01-31,Quarter,197000000,1357000000,313000000,197000000
A,2020-04-30,Quarter,101000000,1238000000,312000000,101000000
A,2020-07-31,Quarter,199000000,1261000000,312000000,199000000
A,2021-01-31,Quarter,288000000,1548000000,309000000,288000000
A,2021-04-30,Quarter,216000000,1525000000,307000000,216000000
A,2021-07-31,Quarter,264000000,1586000000,306000000,264000000
A,2021-10-31,Quarter,442000000,1660000000,305000000,442000000
A,2022-01-31,Quarter,283000000,1674000000,303000000,283000000
A,2022-04-30,Quarter,274000000,1607000000,301000000,274000000
A,2022-07-31,Quarter,329000000,1718000000,299000000,329000000
A,2022-10-31,Quarter,368000000,1849000000,298000000,368000000
A,2023-01-31,Quarter,352000000,1756000000,297000000,352000000
A,2023-04-30,Quarter,302000000,1717000000,297000000,302000000
A,2023-07-31,Quarter,111000000,1672000000,295000000,111000000
A,2023-10-31,Quarter,475000000,1688000000,293000000,475000000
A,2024-01-31,Quarter,348000000,1658000000,294000000,348000000
A,2024-04-30,Quarter,308000000,1573000000,293000000,308000000
A,2024-07-31,Quarter,282000000,1578000000,291000000,282000000
A,2024-10-31,Quarter,351000000,1701000000,287000000,351000000
A,2025-01-31,Quarter,318000000,1681000000,287000000,318000000
AA,2016-12-31,Quarter,-129000000,2537000000,182690000,-133000000
AA,2017-03-31,Quarter,225000000,2655000000,186300000,308000000
AA,2017-06-30,Quarter,75000000,2859000000,186390000,138000000
AA,2017-09-30,Quarter,113000000,2964000000,187160000,169000000
AA,2017-12-31,Quarter,-196000000,3174000000,185080000,-56000000
AA,2018-03-31,Quarter,150000000,3090000000,188500000,274000000
AA,2018-06-30,Quarter,75000000,3579000000,188710000,230000000
AA,2018-09-30,Quarter,-41000000,3390000000,186480000,155000000
AA,2018-12-31,Quarter,43000000,3344000000,188220000,212000000
AA,2019-03-31,Quarter,-199000000,2719000000,185330000,-58000000
AA,2019-06-30,Quarter,-402000000,2711000000,185530000,-293000000
AA,2019-09-30,Quarter,-221000000,2567000000,185570000,-147000000
AA,2019-12-31,Quarter,-303000000,2436000000,185580000,-355000000
AA,2020-03-31,Quarter,80000000,2381000000,186610000,139000000
AA,2020-06-30,Quarter,-197000000,2148000000,185920000,-150000000
AA,2020-09-30,Quarter,-49000000,2365000000,185920000,-20000000
AA,2020-12-31,Quarter,-4000000,2392000000,185950000,17000000
AA,2021-03-31,Quarter,175000000,2870000000,188820000,219000000
AA,2021-06-30,Quarter,309000000,2833000000,190200000,350000000
AA,2021-09-30,Quarter,337000000,3109000000,190820000,370000000
AA,2021-12-31,Quarter,-392000000,3340000000,185660000,-369000000
AA,2022-03-31,Quarter,469000000,3293000000,188540000,553000000
AA,2022-06-30,Quarter,549000000,3644000000,186070000,674000000
AA,2022-09-30,Quarter,-746000000,2851000000,178780000,-769000000
AA,2022-12-31,Quarter,-374000000,2663000000,176950000,-399000000
AA,2023-03-31,Quarter,-231000000,2670000000,178010000,-232000000
AA,2023-06-30,Quarter,-102000000,2684000000,178400000,-121000000
AA,2023-09-30,Quarter,-168000000,2602000000,178440000,-193000000
AA,2023-12-31,Quarter,-150000000,2595000000,178470000,-227000000
AA,2024-03-31,Quarter,-252000000,2599000000,179290000,-307000000
AA,2024-06-30,Quarter,20000000,2906000000,181060000,31000000
AA,2024-09-30,Quarter,90000000,2904000000,233600000,98000000
AA,2024-12-31,Quarter,202000000,3486000000,260460000,202000000
AAAP,2016-09-30,Quarter,-6970000,29820000,39020000,-6970000
AAAP,2016-12-31,Quarter,-16120000,30240000,86140000,-16120000
AAAP,2017-03-31,Quarter,-12020000,34780000,43380000,-12020000
AAAP,2017-06-30,Quarter,-10900000,40180000,45060000,-10900000
AABA,2016-09-30,Quarter,162830000,1305210000,957300000,163300000
AABA,2016-12-31,Quarter,162000000,1469140000,958620000,163910000
AABA,2017-03-31,Quarter,99430000,1327270000,963170000,99940000
AAC,2016-09-30,Quarter,-2530000,70530000,22960000,-4010000
AAC,2016-12-31,Quarter,480000,72350000,23060000,-1300000
AAC,2017-03-31,Quarter,-600000,73040000,23160000,-1640000
AAC,2017-06-30,Quarter,-1920000,78040000,23240000,-2900000
AAC,2017-09-30,Quarter,760000,80420000,23470000,-360000
AAC,2017-12-31,Quarter,-18820000,86140000,23400000,-20180000
AAC,2018-03-31,Quarter,-200000,78470000,23740000,-2100000
AAC,2018-06-30,Quarter,-3010000,86760000,24170000,-5000000
